-
AT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Timeout
20201017112813|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Timeout
20201017112813|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: connect failed in tcp_connect()
20201017112813|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201017112833|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: codigo: 28
20201017112833|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: motivo: Timeout
20201017112833|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: detail: connect failed in tcp_connect()
20201017112833|SAT-SEFAZ|info|nvl 2:(CFeStatus):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeStatus/CfeStatus.asmx
20201017112835|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201017112835|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Timeout
20201017112835|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: SSL_connect failed in tcp_connect()
20201017112835|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201017112853|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: codigo: 28
20201017112853|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: motivo: Timeout
20201017112853|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: detail: connect failed in tcp_connect()
20201017112853|SEFAZ-SAT|erro|nvl 0:(CFeStatus) nao foi possivel estabelecer conexao com a SEFAZ
20201017112853|SAT-SEFAZ|erro|nvl 0:(CFeStatus) falha de comunicacao com a SEFAZ
20201017112853|SAT|info|nvl 2:(CFeStatus) aguarda proxima verificacao (tempo:050300)
20201017112853|SAT|info|nvl 2:(diagnostico) tipo LAN: IPFIX
20201017112853|SAT|info|nvl 2:(diagnostico) IP: 010.010.010.202
20201017112853|SAT|info|nvl 2:(diagnostico) IP mascara: 255.255.255.000
20201017112854|SAT|info|nvl 2:(diagnostico) IP gateway: 010.010.010.252
20201017112854|SAT|info|nvl 2:(diagnostico) MAC: 02:01:00:94:12:35
20201017112854|SAT|info|nvl 2:(diagnostico) Servidor DNS: 010.105.186.005
20201017112854|SAT|info|nvl 2:(diagnostico) Servidor DNS: 010.106.068.066
20201017112854|SAT|info|nvl 2:(diagnostico) cupons pendentes de transmissao: 3699
20201017112854|SAT|info|nvl 2:(diagnostico) cupons pendentes de verificação: 0
20201017112854|SAT|info|nvl 2:(diagnostico) estado de operacao: desbloqueado
20201017112854|SAT|info|nvl 2:(diagnostico) 0x01cc
20201017112858|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201017112858|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Timeout
20201017112858|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: SSL_connect failed in tcp_connect()
20201017112858|SAT-SEFAZ|erro|nvl 0:(CFeRecepcao) falha de comunicacao com a SEFAZ
20201017112858|SAT|info|nvl 2:(CFeRecepcao) falha no envio do lote de movimento 52 para a SEFAZ
20201017112903|SAT|erro|nvl 0:falha no acesso NTP, servidor nao encontrado
20201017112903|SAT|erro|nvl 1:falha na sincronizacao do relogio
20201017112903|SAT|info|nvl 2:(CFeStatus) forcado envio de status para a SEFAZ
20201017112904|SAT-SEFAZ|info|nvl 2:(CFeStatus):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeStatus/CfeStatus.asmx
20201017112905|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201017112926|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201017112926|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Timeout
20201017112926|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: connect failed in tcp_connect()
20201017112926|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201017112926|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: codigo: 28
20201017112926|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: motivo: Timeout
20201017112926|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: detail: SSL_connect failed in tcp_connect()
20201017112926|SAT-SEFAZ|info|nvl 2:(CFeStatus):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeStatus/CfeStatus.asmx
20201017112947|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: codigo: 28
20201017112947|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: motivo: Timeout
20201017112947|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: detail: connect failed in tcp_connect()
20201017112947|SAT-SEFAZ|info|nvl 2:(CFeStatus):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeStatus/CfeStatus.asmx
20201017112947|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201017112947|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Timeout
20201017112947|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: connect failed in tcp_connect()
20201017112947|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201017113008|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: codigo: 28
20201017113008|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: motivo: Timeout
20201017113008|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: detail: connect failed in tcp_connect()
20201017113008|SEFAZ-SAT|erro|nvl 0:(CFeStatus) nao foi possivel estabelecer conexao com a SEFAZ
20201017113008|SAT-SEFAZ|erro|nvl 0:(CFeStatus) falha de comunicacao com a SEFAZ
20201017113008|SAT|info|nvl 2:(CFeStatus) aguarda proxima verificacao (tempo:050300)
20201017113008|SAT|info|nvl 2:(diagnostico) tipo LAN: IPFIX
20201017113008|SAT|info|nvl 2:(diagnostico) IP: 010.010.010.202
20201017113008|SAT|info|nvl 2:(diagnostico) IP mascara: 255.255.255.000
20201017113008|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201017113008|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Timeout
20201017113008|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: connect failed in tcp_connect()
20201017113008|SAT-SEFAZ|erro|nvl 0:(CFeRecepcao) falha de comunicacao com a SEFAZ
20201017113008|SAT|info|nvl 2:(diagnostico) IP gateway: 010.010.010.252
20201017113008|SAT|info|nvl 2:(CFeRecepcao) falha no envio do lote de movimento 53 para a SEFAZ
20201017113008|SAT|info|nvl 2:(diagnostico) MAC: 02:01:00:94:12:35
20201017113008|SAT|info|nvl 2:(diagnostico) Servidor DNS: 010.105.186.005
20201017113008|SAT|info|nvl 2:(diagnostico) Servidor DNS: 010.106.068.066
20201017113009|SAT|info|nvl 2:(diagnostico) cupons pendentes de transmissao: 3699
20201017113009|SAT|info|nvl 2:(diagnostico) cupons pendentes de verificação: 0
20201017113009|SAT|info|nvl 2:(diagnostico) estado de operacao: desbloqueado
20201017113009|SAT|info|nvl 2:(diagnostico) 0x01cc
20201017113014|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201017113018|SAT|erro|nvl 0:falha no acesso NTP, servidor nao encontrado
20201017113018|SAT|erro|nvl 1:falha na sincronizacao do relogio
20201017113018|SAT|info|nvl 2:(CFeStatus) forcado envio de status para a SEFAZ
20201017113019|SAT-SEFAZ|info|nvl 2:(CFeStatus):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeStatus/CfeStatus.asmx
20201017113035|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201017113035|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Timeout
20201017113035|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: SSL_connect failed in tcp_connect()
20201017113035|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201017113049|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: codigo: 28
20201017113049|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: motivo: Timeout
20201017113049|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: detail: SSL_connect failed in tcp_connect()
20201017113049|SAT-SEFAZ|info|nvl 2:(CFeStatus):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeStatus/CfeStatus.asmx
20201017113056|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201017113056|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Timeout
20201017113056|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: connect failed in tcp_connect()
20201017113056|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201017113100|SAT-SEFAZ|info|nvl 2:(CFeComandos):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeComandos/CfeComandos.asmx
20201017113109|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: codigo: 28
20201017113109|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: motivo: Timeout
20201017113109|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: detail: connect failed in tcp_connect()
20201017113109|SAT-SEFAZ|info|nvl 2:(CFeStatus):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeStatus/CfeStatus.asmx
20201017113114|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 30
20201017113114|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Error observed by underlying SSL/TLS BIO: Connection reset by peer
20201017113114|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: SSL_connect error in tcp_connect()
20201017113114|SAT-SEFAZ|erro|nvl 0:(CFeRecepcao) falha de comunicacao com a SEFAZ
20201017113114|SAT|info|nvl 2:(CFeRecepcao) falha no envio do lote de movimento 54 para a SEFAZ
20201017113114|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201017113120|SEFAZ-SAT|erro|nvl 0:(CFeComandos) diagnostico SOAP: codigo: 28
20201017113120|SEFAZ-SAT|erro|nvl 0:(CFeComandos) diagnostico SOAP: motivo: Timeout
20201017113120|SEFAZ-SAT|erro|nvl 0:(CFeComandos) diagnostico SOAP: detail: connect failed in tcp_connect()
20201017113120|SAT-SEFAZ|info|nvl 2:(CFeComandos):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeComandos/CfeComandos.asmx
20201017113129|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: codigo: 28
20201017113129|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: motivo: Timeout
20201017113129|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: detail: connect failed in tcp_connect()
20201017113129|SEFAZ-SAT|erro|nvl 0:(CFeStatus) nao foi possivel estabelecer conexao com a SEFAZ
20201017113129|SAT-SEFAZ|erro|nvl 0:(CFeStatus) falha de comunicacao com a SEFAZ
20201017113130|SAT|info|nvl 2:(CFeStatus) aguarda proxima verificacao (tempo:050300)
20201017113130|SAT|info|nvl 2:(diagnostico) tipo LAN: IPFIX
20201017113130|SAT|info|nvl 2:(diagnostico) IP: 010.010.010.202
20201017113130|SAT|info|nvl 2:(diagnostico) IP mascara: 255.255.255.000
20201017113130|SAT|info|nvl 2:(diagnostico) IP gateway: 010.010.010.252
20201017113130|SAT|info|nvl 2:(diagnostico) MAC: 02:01:00:94:12:35
20201017113130|SAT|info|nvl 2:(diagnostico) Servidor DNS: 010.105.186.005
20201017113130|SAT|info|nvl 2:(diagnostico) Servidor DNS: 010.106.068.066
20201017113130|SAT|info|nvl 2:(diagnostico) cupons pendentes de transmissao: 3699
20201017113130|SAT|info|nvl 2:(diagnostico) cupons pendentes de verificação: 0
20201017113130|SAT|info|nvl 2:(diagnostico) estado de operacao: desbloqueado
20201017113130|SAT|info|nvl 2:(diagnostico) 0x01cc
20201017113139|SAT|erro|nvl 0:falha no acesso NTP, servidor nao encontrado
20201017113139|SAT|erro|nvl 1:falha na sincronizacao do relogio
20201017113139|SAT|info|nvl 2:(CFeStatus) forcado envio de status para a SEFAZ
20201017113139|SAT-SEFAZ|info|nvl 2:(CFeStatus):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeStatus/CfeStatus.asmx
20201017113141|SEFAZ-SAT|erro|nvl 0:(CFeComandos) diagnostico SOAP: codigo: 28
20201017113141|SEFAZ-SAT|erro|nvl 0:(CFeComandos) diagnostico SOAP: motivo: Timeout
20201017113141|SEFAZ-SAT|erro|nvl 0:(CFeComandos) diagnostico SOAP: detail: SSL_connect failed in tcp_connect()
20201017113141|SAT-SEFAZ|info|nvl 2:(CFeComandos):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeComandos/CfeComandos.asmx
20201017113143|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201017113143|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Timeout
20201017113143|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: SSL_connect failed in tcp_connect()
20201017113143|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201017113200|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: codigo: 28
20201017113200|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: motivo: Timeout
20201017113200|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: detail: connect failed in tcp_connect()
20201017113200|SAT-SEFAZ|info|nvl 2:(CFeStatus):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeStatus/CfeStatus.asmx
20201017113202|SEFAZ-SAT|erro|nvl 0:(CFeComandos) diagnostico SOAP: codigo: 28
20201017113202|SEFAZ-SAT|erro|nvl 0:(CFeComandos) diagnostico SOAP: motivo: Timeout
20201017113202|SEFAZ-SAT|erro|nvl 0:(CFeComandos) diagnostico SOAP: detail: SSL_connect failed in tcp_connect()
20201017113202|SAT-SEFAZ|erro|nvl 0:(CFeComandos) falha de comunicacao com a SEFAZ
20201017113202|SAT|info|nvl 2:(CFeComandos) aguarda proxima verificacao (tempo:024900)
20201017113207|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201017113207|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Timeout
20201017113207|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: SSL_connect failed in tcp_connect()
20201017113208|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201017113220|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: codigo: 28
20201017113220|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: motivo: Timeout
20201017113220|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: detail: connect failed in tcp_connect()
